Date,Confirmed,Deaths,Recovered,Active
1,676084,16866,609584,49634
2,677833,16909,611044,49880
3,679716,16938,612763,50015
4,681289,16976,614781,49532
5,682215,17016,615684,49515
6,683242,17103,616857,49282
7,685155,17248,618127,49780
8,686891,17408,618771,50712
9,688352,17547,620081,50724
10,690896,17673,622153,51070
11,692471,17780,623765,50926
12,693359,17863,624659,50837
13,694537,18028,625574,50935
14,696414,18151,626898,51365
15,698184,18309,628301,51574
16,700203,18370,629260,52573
17,702131,18408,630436,53287
18,703793,18471,634543,50779
19,705254,18492,635257,51505
20,706304,18656,639568,48080
